ID,ESC1,ESC2,EB1,EB2,EB3,EB4,NSC1,NSC2,NEURON1,NEURON2,LIMB1,LIMB2,LIMB3,LIMB4
GPR21,0.169651302,0.168258082,0.10758735,0.064714411,0.082442738,0.05831999,1.131752525,1.814398544,0.279298458,0.270828204,1.337921136,1.469350694,1.45358734,1.90545765
Filip1,0.6114524,0.671394314,0.207119598,0.302977376,0.196628601,0.140211736,1.707083767,1.5300097,0.876795485,0.872372772,2.874259481,3.49240511,2.65229302,4.32296496
Med26,4.087258979,6.041976937,1.261354586,1.93622281,1.656500057,1.339191416,6.746210053,7.555241579,1.161381076,1.316170101,6.454318224,8.170493493,4.22725374,5.40778162
Edn1,1.239181958,2.628969129,0.593290018,0.464852559,0.257724951,0.377521632,3.41423319,3.602731108,1.399551729,3.04537489,28.69748607,47.72755756,16.52727399,18.34410091
Foxp2,0.071771099,0.070314049,0.096483351,0.033607103,0.045615751,0.041829235,1.041884378,1.201135306,0.196982257,0.212607116,0.391024096,0.370767229,0.326222109,0.443900171
Neurod6,0.13170861,0.138888177,0.061292853,0.047067284,0.063109017,0.072841706,1.117240571,0.441856625,0.632590331,0.680465938,0.454530526,1.589654264,0.36069995,0.484360248
Grhl2,0.542005262,0.390296034,0.205239084,0.107079545,0.140833272,0.187643845,0.617019737,0.722224151,0.189231446,0.231106484,0.741015749,0.59926154,0.718723946,0.801571161
GABRA1,1.0699993,1.070422238,0.906780451,0.950000417,0.753733181,0.881482359,4.852241304,4.943215549,1.285830058,3.924292264,15.39156362,11.78645056,10.00199585,9.678604496
LRR4C,0.118744644,0.105907098,0.106588502,0.057056471,0.057626425,0.049753332,0.495145678,0.709015873,0.159253997,0.197074057,0.659807928,0.793474387,0.992805503,1.384414243
Nfia,0.546228535,0.452519999,0.240428613,0.208976232,0.080425592,0.140643621,1.919273793,2.219805277,0.55451665,0.298585536,1.45874275,1.062812021,1.282079809,1.27077
Nrep,1.374716342,1.332093912,0.361289799,0.431656284,0.465281822,0.195541107,1.366943142,1.742698916,0.842043751,3.14101473,3.346192893,4.410058955,5.75135849,5.561315125
Ebf2,1.081834809,0.927796018,0.110196899,0.054991328,0.145927448,0.367467776,0.95302045,1.819681806,0.639752262,0.744970408,1.169874099,1.187578302,2.052298346,2.944966198
Slc5a3,0.271113237,0.191606201,0.087679555,0.095651359,0.073427299,0.074440094,1.166671811,1.340914084,30.61709887,6.03827439,0.6074576,1.240051566,0.738507553,0.774949087
Fgf10,0.391616628,0.330842343,0.123666839,0.155520267,0.090499601,0.101840602,1.180005467,3.426831676,1.408404986,1.2855003,1.362370912,1.220794467,0.968101234,1.079177443
Gm8300,0.132226985,0.123455366,0.07908805,0.051362114,0.071694753,0.032372947,2.567823182,1.439720286,0.237727572,0.512513991,0.436041621,0.662080256,0.410470305,0.682556024
Klf7,0.371273425,0.440098247,0.124990313,0.260215449,0.16669175,0.157328331,2.209395037,1.889318326,1.305837475,2.152456203,1.505583323,1.220001638,1.104848637,1.494121272
Amd1,0.084405177,0.089380144,0.052980106,0.05720741,0.061298888,0.060739278,0.388726273,0.411065755,0.257149176,0.302323149,0.676154502,0.72202961,0.862456884,0.754862079
HCV,1.184364971,1.697616465,0.276112497,0.401101357,0.578166159,0.569785717,1.158190303,3.936816856,1.495256304,1.067307467,3.600675204,2.548676792,2.362816357,2.155240596
PRF,0.062997265,0.094682644,0.054847663,0.066299611,0.042972915,0.035380021,0.545446281,0.759491147,2.406544177,4.253908121,0.322591874,0.244053437,0.2927755,0.237593769
Ddx17,4.347684192,5.353503515,1.777826517,2.518890721,3.686154862,1.842497642,3.880779764,4.472811216,3.800458548,5.853133977,35.64484942,28.74197515,22.51749091,22.18374677
Arhgef9,0.098192304,0.178723004,0.06063862,0.029159984,0.034870617,0.042713872,0.673467618,0.770111838,0.812498132,0.62430898,0.357199577,0.295891607,0.24855288,0.241493567
Nfe2l1,0.287274153,0.404237841,0.148827336,0.160134155,0.086852581,0.110055557,0.583332176,2.353221985,1.421220311,0.855678017,1.581038708,1.247375675,1.124397827,1.434114525
Wdtc1,0.728579757,1.141488869,0.152721636,0.233581111,0.143475538,0.234499786,0.780216701,0.718956085,10.2952123,46.0232984,0.969714088,1.082970752,0.799061613,1.404943269
Tek,0.3404982,0.622096726,0.164749461,0.125229486,0.135458262,0.14356747,0.975608566,0.591663136,0.311177283,0.609582026,0.812636403,0.714620985,1.01093794,1.008650143
Zeb2,0.869132146,0.794026438,0.403282997,0.880364683,0.358891047,0.260874265,5.056554968,2.006764196,1.093281612,1.312929536,6.354696227,6.997205964,7.819772074,7.604050054
Amd2/1,0.053111275,0.090839353,0.072595234,0.070321356,0.033074744,0.027817607,0.408974922,0.232478521,0.095157676,0.081108793,0.703359137,0.660071789,0.747333242,0.965962902
Fezf2,0.547342582,0.697190134,0.172408031,0.087998917,0.103137587,0.088334727,1.237504766,1.172412307,0.50119332,0.296020096,1.511503387,1.273313915,1.098051254,1.177581942
RTKN,48.87121563,14.39973125,5.844797623,13.8376845,11.76971585,13.03634481,179.98747,65.58649529,39.2291729,147.6168745,204.903748,145.9906751,46.31129357,87.11942322
NCAM1,37.31021751,11.62375718,9.585938326,8.152897009,11.78641262,9.364888644,90.62620534,125.9481081,15.00069908,38.5461046,180.5391137,66.10553785,38.32851862,94.71872584
AZIN1,27.37443999,4.264085887,3.901154389,8.017721585,9.138706189,12.15337158,35.56177605,39.73253512,16.05299162,32.48221009,140.4472309,46.53530165,55.79691769,53.01652238
RNF220,6.706626545,9.085905249,5.014239336,10.34398816,9.107720659,6.477428252,62.60252103,134.2726794,31.08115981,33.1909403,156.5813388,95.47239823,68.40093311,74.55175975
Cntn4,0.236715987,0.26132555,0.07851375,0.099536505,0.082795746,0.117084767,1.992939816,0.972165785,0.614908356,4.606534694,1.550204894,0.898278372,1.53726179,1.648216323
Trib2,1.319435099,1.840747913,0.73570382,0.404182206,0.33428993,0.420559963,2.840454691,1.150470524,1,0.858809237,6.532714406,5.501479689,6.861818153,5.786074002
